,year,predicted_class,date,year_month,count
0,2021,negative,2021-07-01,07/2021,34
1,2021,negative,2021-08-01,08/2021,117
2,2021,negative,2021-09-01,09/2021,143
3,2021,negative,2021-10-01,10/2021,115
4,2021,negative,2021-11-01,11/2021,105
5,2021,negative,2021-12-01,12/2021,73
6,2021,neutral,2021-07-01,07/2021,6
7,2021,neutral,2021-08-01,08/2021,30
8,2021,neutral,2021-09-01,09/2021,44
9,2021,neutral,2021-10-01,10/2021,21
10,2021,neutral,2021-11-01,11/2021,4
11,2021,neutral,2021-12-01,12/2021,4
12,2021,positive,2021-07-01,07/2021,24
13,2021,positive,2021-08-01,08/2021,93
14,2021,positive,2021-09-01,09/2021,94
15,2021,positive,2021-10-01,10/2021,21
16,2021,positive,2021-11-01,11/2021,5
17,2022,negative,2022-01-01,01/2022,69
18,2022,negative,2022-02-01,02/2022,59
19,2022,negative,2022-03-01,03/2022,50
20,2022,negative,2022-04-01,04/2022,47
21,2022,negative,2022-05-01,05/2022,51
22,2022,negative,2022-06-01,06/2022,54
23,2022,negative,2022-07-01,07/2022,51
24,2022,negative,2022-08-01,08/2022,44
25,2022,negative,2022-09-01,09/2022,34
26,2022,negative,2022-10-01,10/2022,38
27,2022,negative,2022-11-01,11/2022,25
28,2022,negative,2022-12-01,12/2022,22
29,2022,neutral,2022-01-01,01/2022,4
30,2022,neutral,2022-02-01,02/2022,10
31,2022,neutral,2022-03-01,03/2022,3
32,2022,neutral,2022-04-01,04/2022,2
33,2022,neutral,2022-05-01,05/2022,3
34,2022,neutral,2022-06-01,06/2022,4
35,2022,neutral,2022-07-01,07/2022,4
36,2022,neutral,2022-08-01,08/2022,3
37,2022,neutral,2022-09-01,09/2022,3
38,2022,neutral,2022-10-01,10/2022,6
39,2022,neutral,2022-11-01,11/2022,2
40,2022,neutral,2022-12-01,12/2022,2
41,2022,positive,2022-01-01,01/2022,6
42,2022,positive,2022-02-01,02/2022,4
43,2022,positive,2022-03-01,03/2022,4
44,2022,positive,2022-04-01,04/2022,1
45,2022,positive,2022-05-01,05/2022,3
46,2022,positive,2022-06-01,06/2022,1
47,2022,positive,2022-09-01,09/2022,1
48,2022,positive,2022-12-01,12/2022,1
49,2023,negative,2023-01-01,01/2023,45
50,2023,negative,2023-02-01,02/2023,36
51,2023,negative,2023-03-01,03/2023,47
52,2023,negative,2023-04-01,04/2023,37
53,2023,negative,2023-05-01,05/2023,52
54,2023,negative,2023-06-01,06/2023,52
55,2023,negative,2023-07-01,07/2023,74
56,2023,negative,2023-08-01,08/2023,58
57,2023,negative,2023-09-01,09/2023,50
58,2023,negative,2023-10-01,10/2023,37
59,2023,negative,2023-11-01,11/2023,65
60,2023,negative,2023-12-01,12/2023,61
61,2023,neutral,2023-01-01,01/2023,1
62,2023,neutral,2023-02-01,02/2023,1
63,2023,neutral,2023-03-01,03/2023,2
64,2023,neutral,2023-04-01,04/2023,2
65,2023,neutral,2023-05-01,05/2023,3
66,2023,neutral,2023-06-01,06/2023,4
67,2023,neutral,2023-07-01,07/2023,5
68,2023,neutral,2023-08-01,08/2023,4
69,2023,neutral,2023-09-01,09/2023,4
70,2023,neutral,2023-10-01,10/2023,3
71,2023,neutral,2023-11-01,11/2023,3
72,2023,neutral,2023-12-01,12/2023,4
73,2023,positive,2023-03-01,03/2023,3
74,2023,positive,2023-04-01,04/2023,2
75,2023,positive,2023-05-01,05/2023,3
76,2023,positive,2023-06-01,06/2023,2
77,2023,positive,2023-07-01,07/2023,3
78,2023,positive,2023-08-01,08/2023,1
79,2023,positive,2023-09-01,09/2023,3
80,2023,positive,2023-10-01,10/2023,1
81,2023,positive,2023-11-01,11/2023,4
82,2023,positive,2023-12-01,12/2023,1
83,2024,negative,2024-01-01,01/2024,61
84,2024,negative,2024-02-01,02/2024,73
85,2024,negative,2024-03-01,03/2024,59
86,2024,negative,2024-04-01,04/2024,63
87,2024,negative,2024-05-01,05/2024,51
88,2024,negative,2024-06-01,06/2024,72
89,2024,negative,2024-07-01,07/2024,39
90,2024,neutral,2024-01-01,01/2024,1
91,2024,neutral,2024-02-01,02/2024,7
92,2024,neutral,2024-03-01,03/2024,4
93,2024,neutral,2024-04-01,04/2024,2
94,2024,neutral,2024-05-01,05/2024,3
95,2024,neutral,2024-06-01,06/2024,2
96,2024,neutral,2024-07-01,07/2024,2
97,2024,positive,2024-01-01,01/2024,4
98,2024,positive,2024-02-01,02/2024,1
99,2024,positive,2024-03-01,03/2024,2
100,2024,positive,2024-05-01,05/2024,3
101,2024,positive,2024-06-01,06/2024,1
102,2024,positive,2024-07-01,07/2024,2
